"","file","genotype","rep","age","plant","root","order","parentroot","time","bran","apic","x1","y1","z1","x2","y2","z2","diameter1","diameter2","length","blength","orientation","growth","geodesic","magnitude","pathlength"
"1","dense-3-1-12","dense","1",4,1,1,1,0,4,"true","false",590.551208,236.220474,590.551208,588.554628808719,247.364655503207,590.551208,5.905512,5.905512,11.3216213434065,11.3216213434065,10.1572872685519,118.110260859291,11.3216213434065,55,1
"2","dense-3-1-12","dense","1",4,1,1,1,0,4,"false","false",588.554628808719,247.364655503207,590.551208,582.564883770629,280.797241675542,590.551208,5.905512,5.905512,33.9649063562953,45.2865276997018,10.1572872685518,118.110260859291,45.2865276997018,54,2
"3","dense-3-1-12","dense","1",4,1,1,1,0,4,"false","false",582.564883770629,280.797241675542,590.551208,580.568309253821,291.94139708753,590.551208,5.905512,5.905512,11.3215948367582,56.60812253646,10.1572872685516,118.110260859291,56.60812253646,53,3
"4","dense-3-1-12","dense","1",4,1,1,1,0,4,"false","false",580.568309253821,291.94139708753,590.551208,580.13678,294.350037,590.551208,5.905512,5.905512,2.44699074882759,59.0551132852876,10.1572872685519,118.110260859291,59.0551132852876,52,4
"5","dense-3-1-12","dense","1",4,1,1,1,0,4,"false","false",580.13678,294.350037,590.551208,578.304538100908,303.033502324196,590.551208,5.905512,5.905512,8.8746650873884,67.929778372676,11.9148378593165,118.110260859291,67.929778372676,52,4
"6","dense-3-1-12","dense","1",4,1,1,1,0,4,"false","false",578.304538100908,303.033502324196,590.551208,575.967097116878,314.111235969644,590.551208,5.905512,5.905512,11.3216524003038,79.2514307729798,11.9148378593165,118.110260859291,79.2514307729798,51,5
"7","dense-3-1-12","dense","1",4,1,1,1,0,4,"false","false",575.967097116878,314.111235969644,590.551208,573.629665197264,325.1889266565,590.551208,5.905512,5.905512,11.3216084958136,90.5730392687933,11.9148378593169,118.110260859291,90.5730392687933,50,6
"8","dense-3-1-12","dense","1",4,1,1,1,0,4,"false","false",573.629665197264,325.1889266565,590.551208,571.29222417061,336.266660503957,590.551208,5.905512,5.905512,11.3216526067613,101.894691875555,11.9148378593165,118.110260859291,101.894691875555,49,7
"9","dense-3-1-12","dense","1",4,1,1,1,0,4,"false","false",571.29222417061,336.266660503957,590.551208,568.954789650887,347.344363513396,590.551208,5.905512,5.905512,11.3216210897261,113.216312965281,11.9148378593168,118.110260859291,113.216312965281,48,8
"10","dense-3-1-12","dense","1",4,1,1,1,0,4,"false","false",568.954789650887,347.344363513396,590.551208,567.944397,352.132874,590.551208,5.905512,5.905512,4.89394789400979,118.110260859291,11.9148378593165,118.110260859291,118.110260859291,47,9
"11","dense-3-1-12","dense","1",5,1,1,1,0,5,"false","false",567.944397,352.132874,590.551208,566.275456763458,358.340119280749,590.551208,5.905512,5.905512,6.42769441468218,124.537955273973,15.0491973918749,118.110212004155,124.537955273973,47,9
"12","dense-3-1-12","dense","1",5,1,1,1,0,5,"false","false",566.275456763458,358.340119280749,590.551208,563.335818295359,369.273438886022,590.551208,5.905512,5.905512,11.321614368727,135.8595696427,15.0491973918744,118.110212004155,135.8595696427,46,10
"13","dense-3-1-12","dense","1",5,1,1,1,0,5,"false","false",563.335818295359,369.273438886022,590.551208,560.396180145421,380.206757307969,590.551208,5.905512,5.905512,11.3216131433755,147.181182786075,15.0491973918747,118.110212004155,147.181182786075,45,11
"14","dense-3-1-12","dense","1",5,1,1,1,0,5,"false","false",560.396180145421,380.206757307969,590.551208,557.456534473185,391.140103707398,590.551208,5.905512,5.905512,11.3216421144725,158.502824900548,15.0491973918745,118.110212004155,158.502824900548,44,12
"15","dense-3-1-12","dense","1",5,1,1,1,0,5,"false","false",557.456534473185,391.140103707398,590.551208,554.516896323247,402.073422129344,590.551208,5.905512,5.905512,11.3216131433755,169.824438043923,15.0491973918741,118.110212004155,169.824438043923,43,13
"16","dense-3-1-12","dense","1",5,1,1,1,0,5,"false","false",554.516896323247,402.073422129344,590.551208,552.61084,409.162567,590.551208,5.905512,5.905512,7.34091450055991,177.165352544483,15.0491973918747,118.110212004155,177.165352544483,42,14
"17","dense-3-1-12","dense","1",5,1,1,1,0,5,"false","false",552.61084,409.162567,590.551208,552.071609310733,413.106630093277,590.551208,5.905512,5.905512,3.98075412704653,181.14610667153,7.78518739177772,118.110212004155,181.14610667153,42,14
"18","dense-3-1-12","dense","1",5,1,1,1,0,5,"false","false",552.071609310733,413.106630093277,590.551208,550.537987553426,424.32390888032,590.551208,5.905512,5.905512,11.3216314672719,192.467738138802,7.78518739177758,118.110212004155,192.467738138802,41,15
"19","dense-3-1-12","dense","1",5,1,1,1,0,5,"false","false",550.537987553426,424.32390888032,590.551208,549.004371860235,435.541143312955,590.551208,5.905512,5.905512,11.3215867002425,203.789324839044,7.78518739177725,118.110212004155,203.789324839044,40,16
"20","dense-3-1-12","dense","1",5,1,1,1,0,5,"false","false",549.004371860235,435.541143312955,590.551208,547.470750237139,446.758421118347,590.551208,5.905512,5.905512,11.3216304764891,215.110955315533,7.78518739177786,118.110212004155,215.110955315533,39,17
"21","dense-3-1-12","dense","1",5,1,1,1,0,5,"false","false",547.470750237139,446.758421118347,590.551208,545.937127494738,457.975707110603,590.551208,5.905512,5.905512,11.3216387395143,226.432594055047,7.78518739177767,118.110212004155,226.432594055047,38,18
"22","dense-3-1-12","dense","1",5,1,1,1,0,5,"false","false",545.937127494738,457.975707110603,590.551208,544.611267,467.67337,590.551208,5.905512,5.905512,9.78787880839812,236.220472863446,7.7851873917772,118.110212004155,236.220472863446,37,19
