"","FileName","genotype","Time","TRL","GRTR","L1R","GR1R","TNLR","TLRL","N2LR","L2LR","ML2LR","GR2L","D2LR","Height","Width","Magnitude","Altitude","ExtPathLength"
"503","sparse-4-4-12_1","sparse",12,2834.64572851265,590.551089796005,1062.99212419685,177.16528074686,7,1771.65360431581,7,1771.65360431581,253.093372045115,413.385809049145,0.00658518519625808,1046.050034,406.426636,8,8,43
"504","sparse-4-5-12_1","sparse",4,118.110239667231,118.110239667231,118.110239667231,118.110239667231,0,0,0,0,0,0,0,117.878617,0.819563823532121,1,1,1
"505","sparse-4-5-12_1","sparse",5,236.220496358064,118.110256690833,236.220480119226,118.110240451995,1,1.62388379281733e-05,1,1.62388379281733e-05,1.62388379281733e-05,1.62388379281733e-05,0.00423333319573,232.575699,24.7293090000001,2,2,4
"506","sparse-4-5-12_1","sparse",6,472.440993248282,236.220496890218,354.330675894785,118.110195775558,3,118.110317353497,3,118.110317353497,39.3701057844991,118.110301114659,0.00846666744961936,337.508103,148.656128,4,4,13
"507","sparse-4-5-12_1","sparse",7,767.716636606008,295.275643357726,472.440945821137,118.110269926352,4,295.275690784871,4,295.275690784871,73.8189226962177,177.165373431374,0.00846666664983431,448.481613,187.619751,5,5,19
"508","sparse-4-5-12_1","sparse",8,1181.10252561634,413.385889010329,590.551208525355,118.110262704218,5,590.551317090982,5,590.551317090982,118.110263418196,295.275626306112,0.00846666627350629,559.738083,227.261048,6,6,26
"509","sparse-4-5-12_1","sparse",9,1712.59858538564,531.496059769301,708.661424630419,118.110216105064,6,1003.93716075522,6,1003.93716075522,167.32286012587,413.385843664236,0.00846666657935998,674.054123,291.338746,7,7,34
"510","sparse-4-5-12_1","sparse",10,2007.87426961633,295.275684230695,826.771705816725,118.110281186306,7,1181.10256379961,7,1181.10256379961,168.728937685658,177.165403044389,0.00846666613135371,787.073288,291.338746,8,8,43
"511","sparse-4-5-12_1","sparse",11,2244.09480704569,236.220537429359,885.826845250342,59.0551394336171,9,1358.26796179535,9,1358.26796179535,150.918662421706,177.165397995742,0.0101599991558808,840.229721,315.041687,10,10,64
"512","sparse-4-5-12_1","sparse",12,3070.86653107017,826.771724024481,1062.99220378726,177.165358536922,9,2007.87432728291,9,2007.87432728291,223.097147475879,649.606365487559,0.00846666604697052,1004.611191,415.697205,10,10,64
"513","sparse-4-6-12_1","sparse",3,118.110286901035,118.110286901035,118.110249418478,118.110249418478,1,3.74825573109536e-05,1,3.74825573109536e-05,3.74825573109536e-05,3.74825573109536e-05,0.00846666572057511,117.781021,0.787170999999944,2,2,4
"514","sparse-4-6-12_1","sparse",4,295.27563440389,177.165347502856,236.220457692519,118.110208274042,3,59.0551767113713,3,59.0551767113713,19.6850589037904,59.0551392288139,0.0127000007929246,235.080063,20.684388,4,4,13
"515","sparse-4-6-12_1","sparse",5,885.826841963986,590.551207560096,354.330711489388,118.110253796869,5,531.496130474599,5,531.496130474599,106.29922609492,472.440953763227,0.0141111109984881,352.29625,132.814392,6,6,26
"516","sparse-4-6-12_1","sparse",6,1299.21275942868,413.385917464692,472.440938568314,118.110227078927,6,826.771820860364,6,826.771820860364,137.795303476727,295.275690385765,0.0127000001697194,470.022446,199.871521,7,7,34
"517","sparse-4-6-12_1","sparse",7,1594.48826761829,295.275508189613,590.551125957042,118.110187388728,8,1003.93714166125,8,1003.93714166125,125.492142707656,177.165320800886,0.0135466679316465,587.981735,199.871521,9,9,53
"518","sparse-4-6-12_1","sparse",8,2185.03957963273,590.551312014443,708.661391469032,118.11026551199,10,1476.3781881637,10,1476.3781881637,147.63781881637,472.441046502453,0.014111111625921,705.601181,199.871521,11,11,76
"519","sparse-4-6-12_1","sparse",9,2775.59094239622,590.551362763485,826.771689302027,118.110297832995,13,1948.81925309419,13,1948.81925309419,149.909173314938,472.44106493049,0.0157238088437387,823.576645,243.360047,14,14,118
"520","sparse-4-6-12_1","sparse",10,3484.25241321725,708.661470821025,944.881897374581,118.110208072554,15,2539.37051584266,15,2539.37051584266,169.291367722844,590.551262748471,0.0158749998721306,941.231308,301.575318,16,16,151
"521","sparse-4-6-12_1","sparse",11,4370.07921209674,885.826798879491,1062.99214643219,118.110249057606,17,3307.08706566455,17,3307.08706566455,194.534533274385,767.716549821885,0.0159925922849558,1058.934922,345.114593,18,18,188
"522","sparse-4-6-12_1","sparse",12,5433.07152750049,1062.99231540376,1240.15750705526,177.165360623071,17,4192.91402044524,17,4192.91402044524,246.642001202661,885.826954780686,0.0137079362123658,1233.012314,424.826751,18,18,188
"523","sparse-4-7-12_1","sparse",4,118.110248595482,118.110248595482,118.110248595482,118.110248595482,0,0,0,0,0,0,0,116.4814,6.26135199999999,1,1,1
"524","sparse-4-7-12_1","sparse",5,236.220449923175,118.110201327693,236.220449923175,118.110201327693,0,0,0,0,0,0,0,234.180496,9.35089099999993,1,1,1
"525","sparse-4-7-12_1","sparse",6,295.275616569363,59.0551666461879,295.275598857343,59.055148934168,2,1.77120198908088e-05,2,1.77120198908088e-05,8.85600994540438e-06,1.77120198908088e-05,0.00677333314279811,293.235642,9.369507,3,3,8
"526","sparse-4-7-12_1","sparse",7,531.496095901478,236.220479332115,413.385810425064,118.110211567721,4,118.110285476414,4,118.110285476414,29.5275713691035,118.110267764394,0.00967619085881782,410.525498,21.4736330000001,5,5,19
"527","sparse-4-7-12_1","sparse",8,1003.9370787262,472.440982824718,531.496073659988,118.110263234924,5,472.441005066208,5,472.441005066208,94.4882010132415,354.330719589794,0.00940740721858771,525.814499,52.360046,6,6,26
"528","sparse-4-7-12_1","sparse",9,1476.37810513417,472.441026407974,649.606282659654,118.110208999666,7,826.771822474516,7,826.771822474516,118.110260353502,354.330817408309,0.0107757578503401,638.627426,138.202912,8,8,43
"529","sparse-4-7-12_1","sparse",10,1948.81915958718,472.441054453009,708.66147570527,59.0551930456158,8,1240.15768388191,8,1240.15768388191,155.019710485239,413.385861407393,0.011288887958864,694.356247,202.366455,9,9,53
"530","sparse-4-7-12_1","sparse",11,2598.42546611717,649.606306529991,826.771624136513,118.110148431243,10,1771.65384198066,10,1771.65384198066,177.165384198066,531.496158098748,0.0120952385254442,800.085922,310.594666,11,11,76
"531","sparse-4-7-12_1","sparse",12,3425.19694763646,826.771481519285,1003.93701102617,177.165386889656,10,2421.25993661029,10,2421.25993661029,242.125993661029,649.606094629629,0.0099607842824507,974.938095,342.078949,11,11,76
"532","sparse-4-8-12_1","sparse",3,118.1102636618,118.1102636618,118.110263282617,118.110263282617,1,3.79183618685041e-07,1,3.79183618685041e-07,3.79183618685041e-07,3.79183618685041e-07,0.00846666472673234,117.246506,4.0195323742206,2,2,4
"533","sparse-4-8-12_1","sparse",4,295.27561749822,177.165353836419,236.220470800856,118.11020751824,3,59.0551466973635,3,59.0551466973635,19.6850488991212,59.0551463181799,0.0127000000881766,235.272721,41.1555183742206,4,4,13
"534","sparse-4-8-12_1","sparse",5,590.551288219892,295.275670721672,354.330710897254,118.110240096398,5,236.220577322638,5,236.220577322638,47.2441154645276,177.165430625275,0.0141111110220696,352.734482,122.701599,6,6,26
"535","sparse-4-8-12_1","sparse",6,1122.04737827093,531.496090051034,413.385797684839,59.0550867875854,7,708.661580586087,7,708.661580586087,101.237368655155,472.441003263449,0.0169333345248032,411.693161,258.700012,8,8,43
"536","sparse-4-8-12_1","sparse",7,1653.54340882063,531.496030549706,531.496014851498,118.110217166658,8,1122.04739396913,8,1122.04739396913,140.255924246142,413.385813383048,0.015051853215184,529.424851,307.823577,9,9,53
"537","sparse-4-8-12_1","sparse",8,2362.20493236154,708.661523540909,649.606295627157,118.110280775659,10,1712.59863673438,10,1712.59863673438,171.259863673438,590.55124276525,0.0153939394789048,645.786789,363.046601,11,11,76
"538","sparse-4-8-12_1","sparse",9,3129.92137538005,767.716443018508,767.716560913472,118.110265286314,13,2362.20481446658,13,2362.20481446658,181.708062651275,649.606177732194,0.0169333327713185,761.452561,372.248505,14,14,118
"539","sparse-4-8-12_1","sparse",10,3720.4724992054,590.551123825353,885.826733707146,118.110172793674,15,2834.64576549826,15,2834.64576549826,188.97638436655,472.440951031678,0.0169333340587111,877.478134,372.248505,16,16,151
"540","sparse-4-8-12_1","sparse",11,4251.96870792061,531.496208715211,944.881894870233,59.0551611630872,17,3307.08681305038,17,3307.08681305038,194.534518414728,472.441047552124,0.0179916665694338,936.396714,372.248505,18,18,188
"541","sparse-4-8-12_1","sparse",12,5787.40182884083,1535.43312092022,1122.04726370286,177.165368832629,17,4665.35456513797,17,4665.35456513797,274.432621478704,1358.26775208759,0.0151508769282128,1112.62291,372.248505,18,18,188
"542","sparse-4-9-12_1","sparse",3,118.110269663913,118.110269663913,118.110257253811,118.110257253811,1,1.24101027223264e-05,1,1.24101027223264e-05,1.24101027223264e-05,1.24101027223264e-05,0.00846666515890376,116.458451,4.27038600000003,2,2,4
"543","sparse-4-9-12_1","sparse",4,354.330714594797,236.220444930884,236.220437131347,118.110179877536,3,118.11027746345,3,118.11027746345,39.3700924878166,118.110265053347,0.012700001898362,232.116196,44.4875490000001,4,4,13
"544","sparse-4-9-12_1","sparse",5,708.661443657748,354.330729062951,354.330676184212,118.110239052865,5,354.330767473536,5,354.330767473536,70.8661534947071,236.220490010086,0.0141111124045059,346.114731,132.942749,6,6,26
"545","sparse-4-9-12_1","sparse",6,1181.10242126416,472.440977606411,472.440941200687,118.110265016474,7,708.661480063472,7,708.661480063472,101.237354294782,354.330712589936,0.0148166667821164,460.626023,198.776368,8,8,43
"546","sparse-4-9-12_1","sparse",7,1830.70870717152,649.606285907362,531.496012771351,59.0550715706644,9,1299.21269440017,9,1299.21269440017,144.356966044463,590.551214336698,0.016933334933355,518.960861,200.387635,10,10,64
